type,id,effect
litter,170,-0.008667
litter,171,-0.165728
litter,172,0.135989
litter,173,-0.026556
litter,174,0.060881
litter,175,0.021578
litter,176,-0.052483
litter,177,0.019343
litter,178,-0.027524
litter,179,-0.029366
litter,180,0.013654
litter,181,0.093914
litter,182,-0.100414
litter,183,-0.061586
litter,184,-0.014011
litter,185,0.067119
litter,186,0.129681
litter,187,0.107269
litter,188,-0.061085
litter,189,-0.116839
litter,190,-0.004552
litter,191,0.049342
litter,192,0.088330
litter,193,0.051044
litter,194,0.116852
litter,195,0.074812
litter,196,0.069815
litter,197,0.214393
litter,198,0.016402
litter,199,0.061942
litter,200,0.062357
litter,201,-0.086732
litter,202,0.181408
litter,203,-0.015749
litter,204,-0.113127
litter,205,0.102010
litter,206,0.080610
litter,207,0.291546
litter,208,-0.002245
litter,209,-0.052826
litter,210,-0.144138
litter,211,0.124950
litter,212,0.007271
litter,213,0.049347
litter,214,0.027217
litter,215,0.018370
litter,216,-0.055452
litter,217,-0.017915
litter,218,0.028637
litter,219,0.022329
litter,220,0.093708
litter,221,0.055989
litter,222,-0.105852
litter,223,-0.079025
litter,224,-0.091399
litter,225,0.206091
litter,226,-0.000028
litter,227,0.090237
litter,228,0.114011
litter,229,0.094480
litter,230,-0.021716
litter,231,-0.010665
litter,232,0.190407
litter,233,0.094921
litter,234,0.191428
litter,235,0.013995
litter,236,0.004003
litter,237,-0.089859
litter,238,0.023922
litter,239,-0.177229
litter,240,0.010186
litter,241,0.093611
litter,242,0.113231
litter,243,-0.330254
litter,244,-0.063381
litter,245,0.072072
litter,246,-0.104733
litter,247,0.018725
litter,248,-0.050449
litter,249,0.059817
litter,250,0.015424
litter,251,0.240531
litter,252,0.037654
litter,253,0.051876
litter,254,0.110248
litter,255,-0.053192
litter,256,0.005089
litter,257,-0.114069
litter,258,0.082157
litter,259,0.057984
litter,260,-0.048542
litter,261,0.093042
litter,262,0.064618
litter,263,0.115013
litter,264,0.093460
litter,265,-0.019746
litter,266,-0.102084
litter,267,0.036209
litter,268,0.073866
litter,269,0.041308
litter,270,0.108566
litter,271,0.030689
litter,272,-0.065227
litter,273,0.000666
litter,274,0.080931
litter,275,0.084577
litter,276,-0.095199
litter,277,-0.210031
litter,278,0.066763
litter,279,-0.095580
litter,280,0.045011
litter,281,-0.165021
litter,282,0.150353
litter,283,0.247845
litter,284,-0.044977
litter,285,0.102330
litter,286,0.119415
litter,287,-0.072988
litter,288,0.192028
litter,289,-0.121670
litter,290,-0.131027
litter,291,-0.088777
litter,292,-0.131297
litter,293,0.094083
litter,294,0.029459
litter,295,-0.034771
litter,296,0.085898
litter,297,-0.015936
litter,298,0.042737
litter,299,-0.011807
omic_effect,omic1,-0.207350
omic_effect,omic2,-0.505622
omic_effect,omic3,-0.388797
omic_effect,omic4,-0.239421
omic_effect,omic5,-0.285361
omic_effect,omic6,0.309652
omic_effect,omic7,-0.321915
omic_effect,omic8,-0.216001
omic_effect,omic9,-0.724813
omic_effect,omic10,0.115715
snp,1,-0.041659
snp,55,-0.021680
snp,102,0.013718
snp,156,-0.024943
snp,211,0.007550
snp,264,0.014859
snp,319,0.018629
snp,373,0.019741
snp,430,0.029918
snp,487,0.041494
snp,545,-0.007858
snp,597,0.018286
snp,648,0.018286
snp,715,-0.023986
snp,773,-0.006485
snp,820,-0.021143
snp,864,0.018740
snp,926,-0.005390
snp,975,0.027276
snp,1036,-0.002255
snp,1094,-0.033054
snp,1141,-0.006044
snp,1188,-0.032088
snp,1240,-0.003763
snp,1297,-0.019762
snp,1362,-0.002251
snp,1423,-0.006187
snp,1471,-0.030706
snp,1522,0.012324
snp,1576,0.005884
snp,1629,-0.023293
snp,1676,-0.012581
snp,1725,-0.008079
snp,1780,0.025898
snp,1837,0.024556
snp,1898,-0.003035
snp,1962,-0.001651
snp,2019,-0.007246
snp,2080,-0.003621
snp,2129,-0.017177
snp,2192,-0.012749
snp,2246,0.005055
snp,2303,-0.032542
snp,2352,-0.035458
snp,2403,0.025320
snp,2452,0.008584
snp,2514,-0.021207
snp,2576,0.005664
snp,2623,-0.009632
snp,2674,-0.004802
snp,2721,-0.010499
snp,2767,-0.019827
snp,2818,0.003579
snp,2874,-0.017064
snp,2924,0.007272
snp,2972,-0.014337
snp,3024,0.044512
snp,3066,-0.010673
snp,3130,0.020860
snp,3182,-0.019490
snp,3247,-0.026284
snp,3299,-0.012774
snp,3347,-0.026012
snp,3400,-0.009187
snp,3447,0.012915
snp,3500,-0.032107
snp,3545,0.023842
snp,3601,0.003180
snp,3655,-0.002681
snp,3704,-0.002907
snp,3759,0.031016
snp,3799,0.007006
snp,3850,0.015625
snp,3910,0.031201
snp,3961,-0.012906
snp,4013,-0.022652
snp,4065,-0.012733
snp,4121,0.009944
snp,4172,-0.007358
snp,4224,0.015475
snp,4279,-0.008145
snp,4326,0.012116
snp,4376,-0.028539
snp,4431,-0.016338
snp,4474,0.028133
snp,4531,0.008017
snp,4590,-0.024746
snp,4644,0.009051
snp,4698,0.012656
snp,4760,-0.056813
snp,4808,0.023171
snp,4860,0.002428
snp,4918,0.015049
snp,4965,-0.000337
snp,5016,0.021688
snp,5067,-0.008223
snp,5121,-0.011447
snp,5175,0.001219
snp,5223,0.007450
snp,5274,0.009630
snp,5326,0.025067
snp,5377,-0.030108
snp,5432,-0.011996
snp,5486,0.050391
snp,5532,-0.015359
snp,5590,-0.043594
snp,5645,-0.026425
snp,5703,0.011641
snp,5757,0.010976
snp,5805,0.010214
snp,5854,-0.036911
snp,5908,-0.002001
snp,5955,0.016888
snp,6001,-0.006231
snp,6055,-0.025525
snp,6112,0.004770
snp,6177,0.007602
snp,6231,0.015812
snp,6279,0.006542
snp,6330,0.011899
snp,6385,0.010735
snp,6427,-0.006958
snp,6484,0.015844
snp,6542,-0.004498
snp,6593,0.020330
snp,6654,-0.009284
snp,6704,-0.011845
snp,6761,-0.027589
snp,6806,-0.013560
snp,6857,-0.001241
snp,6916,0.027471
snp,6962,-0.020395
snp,7008,0.021876
snp,7049,0.023755
snp,7098,0.003635
snp,7154,-0.023445
snp,7207,-0.005241
snp,7272,0.002073
snp,7319,-0.001052
snp,7378,-0.001626
snp,7428,-0.007490
snp,7481,-0.024632
snp,7535,-0.013069
snp,7593,-0.007979
snp,7644,-0.020340
snp,7691,0.005011
snp,7753,-0.019883
snp,7813,-0.020098
snp,7866,0.009214
snp,7916,0.020099
snp,7966,0.019373
snp,8024,-0.004656
snp,8086,0.056743
snp,8127,-0.020667
snp,8181,-0.019045
snp,8239,-0.013400
snp,8288,-0.003039
snp,8340,0.019035
snp,8401,0.039097
snp,8453,-0.033004
snp,8508,-0.017983
snp,8557,-0.012920
snp,8601,-0.010407
snp,8659,-0.018440
snp,8709,0.009928
snp,8755,-0.039117
snp,8816,-0.000443
snp,8863,-0.021185
snp,8916,0.000180
snp,8966,-0.010909
snp,9016,0.001581
snp,9062,-0.017247
snp,9113,-0.024268
snp,9164,0.014582
snp,9215,-0.001607
snp,9275,0.056719
snp,9333,0.011729
snp,9384,0.000818
snp,9432,0.002378
snp,9482,-0.018693
snp,9533,0.040207
snp,9584,-0.002202
snp,9640,-0.008435
snp,9694,0.006717
snp,9751,-0.013689
snp,9806,0.017418
snp,9852,-0.006573
snp,9910,-0.037421
snp,9958,-0.015702
snp,10006,0.000743
snp,10052,0.049305
snp,10104,0.003107
snp,10170,0.003459
snp,10218,-0.032428
snp,10262,-0.007573
snp,10319,-0.008712
snp,10371,-0.010692
snp,10428,-0.025494
snp,10478,-0.005678
snp,10538,0.019799
snp,10593,-0.035048
snp,10642,0.030153
snp,10690,-0.024455
snp,10742,0.014754
snp,10789,0.011175
snp,10846,-0.003439
snp,10900,-0.010552
snp,10950,0.011147
snp,11012,-0.010714
snp,11070,-0.032226
snp,11129,0.004356
snp,11188,0.016336
snp,11239,0.007895
snp,11286,-0.004679
snp,11344,-0.010620
snp,11398,-0.004214
snp,11452,0.018114
snp,11498,-0.004301
snp,11550,-0.013819
snp,11602,0.008353
snp,11651,0.008258
snp,11695,0.038267
snp,11741,0.013771
snp,11810,0.005038
snp,11859,-0.025030
snp,11914,-0.025110
snp,11967,-0.047083
snp,12026,0.036926
snp,12074,0.000793
snp,12124,0.001732
snp,12180,-0.007251
snp,12232,-0.009746
snp,12284,0.025763
snp,12331,0.034668
snp,12383,0.002198
snp,12428,-0.006080
snp,12479,-0.007245
snp,12524,-0.016490
snp,12585,0.022595
snp,12640,0.008102
snp,12691,0.034558
snp,12735,-0.035969
snp,12783,0.014057
snp,12835,-0.033971
snp,12890,0.015455
snp,12944,0.006083
snp,12993,0.007405
snp,13050,-0.005153
snp,13103,0.006363
snp,13147,0.026748
snp,13190,0.002868
snp,13239,-0.040533
snp,13314,0.014519
snp,13368,0.042047
snp,13418,-0.003601
snp,13472,-0.030948
snp,13526,0.026668
snp,13576,-0.000852
snp,13626,-0.015070
snp,13681,-0.009804
snp,13737,0.024278
snp,13797,0.035767
snp,13845,0.023523
snp,13898,-0.022052
snp,13962,-0.021409
snp,14011,-0.014924
snp,14058,-0.019460
snp,14112,-0.005462
snp,14167,-0.005943
snp,14216,0.001460
snp,14275,-0.014501
snp,14334,0.017371
snp,14386,-0.026827
snp,14433,-0.015258
snp,14482,-0.055297
snp,14541,0.009181
snp,14596,-0.015079
snp,14652,-0.040245
snp,14701,-0.024623
snp,14756,0.020608
snp,14809,0.015066
snp,14860,-0.006384
snp,14917,-0.002353
snp,14974,-0.010820
snp,15026,0.009602
snp,15076,-0.018411
snp,15135,0.009376
snp,15193,0.002943
snp,15247,-0.000507
snp,15298,0.033819
snp,15353,0.006799
snp,15408,-0.012444
snp,15458,0.014649
snp,15515,0.018003
snp,15566,0.012007
snp,15611,0.032005
snp,15671,-0.009991
snp,15719,0.005764
snp,15770,0.000921
snp,15827,0.032656
snp,15873,0.009221
snp,15916,-0.012538
snp,15970,-0.013769
snp,16022,0.017047
snp,16075,-0.011296
snp,16130,-0.029527
snp,16179,0.022766
snp,16243,-0.000927
snp,16293,0.013096
snp,16356,0.023705
snp,16401,-0.022052
snp,16451,0.020942
snp,16499,-0.011394
snp,16552,0.015676
snp,16606,0.017175
snp,16661,0.010900
snp,16729,0.018840
snp,16783,-0.000818
snp,16834,-0.010533
snp,16893,-0.003482
snp,16946,0.003439
snp,17000,0.017990
snp,17051,0.021766
snp,17111,-0.019999
snp,17174,-0.010211
snp,17223,0.019553
snp,17282,0.055269
snp,17331,0.009660
snp,17383,-0.001890
snp,17439,0.001214
snp,17488,-0.016548
snp,17534,-0.027577
snp,17583,-0.037082
snp,17631,-0.010029
snp,17689,0.019781
snp,17741,0.038644
snp,17787,0.005667
snp,17841,-0.017378
snp,17894,0.022406
snp,17950,0.029631
snp,18006,-0.021551
snp,18058,-0.003916
snp,18121,-0.027854
snp,18190,0.028630
snp,18239,-0.023598
snp,18288,0.032843
snp,18338,-0.008489
snp,18387,-0.013160
snp,18445,0.018689
snp,18505,-0.005693
snp,18566,-0.019020
snp,18615,-0.032029
snp,18662,-0.020159
snp,18722,0.001121
snp,18779,-0.007132
snp,18828,-0.015012
snp,18882,-0.010356
snp,18939,0.002246
snp,18999,-0.009037
snp,19047,-0.001036
snp,19093,0.049347
snp,19147,0.003031
snp,19203,0.046671
snp,19251,-0.000629
snp,19311,-0.000623
snp,19368,-0.005815
snp,19422,-0.042465
snp,19476,-0.012555
snp,19531,-0.019135
snp,19592,0.003073
snp,19639,-0.016269
snp,19695,0.040971
snp,19747,-0.002961
snp,19800,0.003547
snp,19848,-0.011109
snp,19893,-0.021242
snp,19943,-0.010079
snp,19993,-0.014468
snp,20058,0.000630
snp,20110,-0.000663
snp,20163,0.019782
snp,20214,-0.014406
snp,20263,-0.008211
snp,20311,-0.017852
snp,20359,-0.028400
snp,20411,-0.019432
snp,20461,-0.001265
snp,20522,0.021377
snp,20577,0.011831
snp,20636,0.005625
snp,20690,-0.032439
snp,20739,-0.006200
snp,20787,-0.018678
snp,20847,-0.005738
snp,20910,0.006428
snp,20968,0.016969
snp,21021,-0.012449
snp,21071,-0.013464
snp,21129,-0.021542
snp,21188,0.038560
snp,21243,0.003146
snp,21295,0.035720
snp,21344,-0.028250
snp,21396,0.010501
snp,21448,-0.011263
snp,21492,0.007066
snp,21536,0.023507
snp,21586,-0.006171
snp,21641,0.006801
snp,21689,-0.008442
snp,21741,0.018271
snp,21791,-0.022453
snp,21847,0.010331
snp,21898,-0.005438
snp,21950,0.032466
snp,22000,0.027636
snp,22051,-0.006203
snp,22098,0.009257
snp,22146,-0.013661
snp,22203,0.001835
snp,22253,0.016557
snp,22302,-0.015889
snp,22352,-0.003517
snp,22401,0.016141
snp,22447,-0.004180
snp,22490,0.009349
snp,22551,-0.002013
snp,22598,-0.001257
snp,22640,0.001951
snp,22685,-0.001585
snp,22742,-0.030504
snp,22790,0.005692
snp,22848,0.022104
snp,22908,0.004002
snp,22963,0.021040
snp,23013,-0.012930
snp,23071,0.002665
snp,23117,0.006087
snp,23170,-0.014784
snp,23229,0.020163
snp,23280,-0.049397
snp,23338,0.015485
snp,23381,-0.002620
snp,23438,0.000808
snp,23491,-0.030276
snp,23552,-0.006158
snp,23604,-0.004514
snp,23656,0.008821
snp,23700,-0.019343
snp,23750,-0.007331
snp,23809,-0.015468
snp,23858,0.049073
snp,23906,0.001412
snp,23963,0.018242
snp,24013,0.005629
snp,24071,0.019841
snp,24122,-0.017195
snp,24184,-0.003155
snp,24234,-0.015338
snp,24288,0.004785
snp,24334,-0.000389
snp,24390,-0.028963
snp,24455,-0.016279
snp,24512,0.023824
snp,24556,-0.005804
snp,24608,0.006350
snp,24663,0.020734
snp,24714,0.017761
snp,24766,-0.046598
snp,24814,-0.010642
snp,24870,-0.002771
snp,24923,0.032746
snp,24971,-0.016066
snp,25027,-0.010327
snp,25084,0.012371
snp,25135,-0.007863
snp,25185,-0.011434
snp,25238,-0.006749
snp,25295,-0.021858
snp,25343,0.003811
snp,25393,-0.013677
snp,25449,0.000676
snp,25509,-0.005060
snp,25561,-0.005408
snp,25614,0.003104
snp,25657,0.015710
snp,25718,-0.016912
snp,25776,0.005896
snp,25831,0.005493
snp,25881,-0.004388
snp,25933,0.015346
snp,25986,-0.020851
snp,26039,0.029437
snp,26100,-0.012953
snp,26151,0.010376
snp,26201,-0.017639
snp,26253,-0.017170
snp,26300,0.018376
snp,26351,-0.017312
snp,26391,-0.032028
snp,26438,0.005355
snp,26499,0.030072
snp,26550,0.001502
snp,26600,-0.006286
snp,26655,0.006682
snp,26712,-0.041454
snp,26773,-0.001336
snp,26825,0.001846
snp,26876,-0.007171
snp,26930,0.030223
snp,26983,-0.017421
snp,27033,0.007327
snp,27089,-0.015076
snp,27138,-0.005117
snp,27180,-0.010400
snp,27233,0.022979
snp,27284,-0.013699
snp,27336,-0.007995
snp,27388,0.015261
snp,27451,-0.008198
snp,27500,0.018698
snp,27559,0.020340
snp,27605,0.005251
snp,27660,-0.006482
snp,27711,0.016686
snp,27759,0.017865
snp,27807,0.000945
snp,27862,0.038713
snp,27905,0.049564
snp,27953,0.018067
snp,28004,-0.010839
snp,28052,0.007760
snp,28109,-0.022466
snp,28157,0.024304
snp,28202,0.013277
snp,28249,-0.013189
snp,28304,0.015125
snp,28355,-0.005648
snp,28406,0.020447
snp,28460,-0.013241
snp,28520,-0.023304
snp,28578,-0.006936
snp,28627,0.011606
snp,28677,-0.000896
snp,28720,0.011324
snp,28778,0.027576
snp,28827,-0.034776
snp,28882,-0.022967
snp,28944,-0.023049
snp,28993,-0.002877
snp,29043,0.002207
snp,29103,-0.017346
snp,29150,-0.027532
snp,29201,0.003530
snp,29250,-0.030776
snp,29307,-0.010266
snp,29363,0.012493
snp,29409,-0.053708
snp,29463,-0.044575
snp,29513,0.010148
snp,29569,0.000283
snp,29622,0.025673
snp,29672,-0.012887
snp,29724,0.002310
snp,29774,-0.013269
snp,29825,-0.018403
snp,29871,0.000509
snp,29923,0.020158
snp,29973,-0.003473
snp,30023,0.003280
snp,30080,-0.024190
snp,30127,0.000772
snp,30188,-0.034990
snp,30247,0.000470
snp,30296,0.047033
snp,30347,-0.022373
snp,30396,0.006667
snp,30446,-0.030041
snp,30496,-0.006228
snp,30544,-0.014096
snp,30595,0.027645
snp,30649,-0.001174
snp,30699,-0.009857
snp,30765,0.004631
snp,30812,-0.036435
snp,30857,0.026580
snp,30910,0.025252
snp,30961,-0.019112
snp,31014,0.030311
snp,31081,-0.006247
snp,31137,-0.001862
snp,31184,-0.002341
snp,31239,-0.012035
snp,31298,0.006339
snp,31347,0.018649
snp,31407,0.042105
snp,31458,-0.008621
snp,31511,0.005621
snp,31570,-0.016473
snp,31616,-0.001759
snp,31669,-0.002318
snp,31729,0.002815
snp,31769,-0.020189
snp,31828,-0.019456
snp,31886,-0.001568
snp,31939,-0.021030
snp,31996,0.014365
snp,32043,0.014682
snp,32089,-0.011619
snp,32136,0.023059
snp,32190,0.025957
snp,32248,-0.040361
snp,32296,0.019032
snp,32361,-0.006063
snp,32420,-0.005248
snp,32473,0.026919
snp,32531,-0.027736
snp,32582,-0.010459
snp,32641,-0.030983
snp,32687,-0.019716
snp,32747,-0.027927
snp,32795,-0.009432
snp,32846,0.028513
snp,32911,-0.003706
snp,32960,-0.008354
snp,33009,0.019778
snp,33055,-0.008118
snp,33115,-0.032662
snp,33158,-0.012698
snp,33207,-0.031135
snp,33266,-0.020042
snp,33317,0.024401
snp,33377,-0.013746
snp,33445,0.024555
snp,33505,0.013410
snp,33563,0.018473
snp,33615,0.030885
snp,33673,-0.032630
snp,33732,0.020177
snp,33792,0.003125
snp,33851,-0.000954
snp,33898,-0.003311
snp,33949,0.009059
snp,34001,0.006287
snp,34056,0.025245
snp,34103,0.008687
snp,34160,-0.007663
snp,34206,0.002611
snp,34261,0.005897
snp,34311,0.006834
snp,34365,-0.011707
snp,34410,0.008576
snp,34462,-0.005009
snp,34516,0.000540
snp,34563,0.018403
snp,34618,-0.007649
snp,34671,0.040442
snp,34732,-0.015593
snp,34798,0.004025
snp,34855,0.023522
snp,34906,0.012198
snp,34957,-0.030008
snp,35010,0.040671
snp,35057,0.034563
snp,35109,-0.002247
snp,35154,-0.010973
snp,35205,0.018163
snp,35261,0.011837
snp,35312,-0.001472
snp,35365,0.000085
snp,35426,0.021566
snp,35475,-0.018805
snp,35519,-0.031863
snp,35582,-0.013585
snp,35635,-0.022829
snp,35693,-0.003446
snp,35755,0.022971
snp,35805,0.005325
snp,35853,-0.010918
snp,35910,-0.021488
snp,35969,0.020194
snp,36025,-0.003134
snp,36079,0.020505
snp,36146,-0.010165
snp,36205,0.015972
snp,36253,0.014713
snp,36305,0.006066
snp,36355,0.017298
snp,36397,-0.009434
snp,36456,0.015512
snp,36500,0.019528
snp,36548,-0.009657
snp,36604,-0.031653
snp,36661,0.032388
snp,36715,-0.020350
snp,36769,-0.008564
snp,36821,0.002678
snp,36869,0.041969
snp,36918,0.003907
snp,36978,-0.015504
snp,37041,0.005915
snp,37090,-0.014912
snp,37138,-0.000351
snp,37184,-0.026437
snp,37240,0.016241
snp,37298,-0.013625
snp,37350,-0.009921
snp,37404,-0.015429
snp,37459,0.005514
snp,37509,0.000235
snp,37561,-0.016223
snp,37606,0.030939
snp,37663,0.000328
snp,37712,-0.027963
snp,37763,-0.001683
snp,37820,-0.023701
snp,37875,0.023400
snp,37931,0.004095
snp,37987,-0.007629
snp,38043,0.015431
snp,38097,-0.012657
snp,38157,0.004645
snp,38221,-0.015997
snp,38276,0.002444
snp,38336,-0.014443
snp,38384,0.016987
snp,38441,0.013478
snp,38501,0.018351
snp,38556,0.025611
snp,38609,0.036826
snp,38657,0.015300
snp,38714,0.002055
snp,38767,-0.023243
snp,38815,0.024508
snp,38872,-0.004225
snp,38926,-0.044062
snp,38986,-0.004970
snp,39034,0.013294
snp,39087,-0.002303
snp,39133,0.001940
snp,39188,-0.009271
snp,39238,-0.016787
snp,39286,-0.004123
snp,39330,-0.008170
snp,39380,-0.009965
snp,39440,0.014790
snp,39492,-0.015673
snp,39545,0.013065
snp,39594,0.001715
snp,39647,0.015005
snp,39703,-0.006185
snp,39750,-0.019755
snp,39805,-0.003432
snp,39855,-0.003741
snp,39907,0.035045
snp,39969,0.009418
snp,40021,-0.007863
snp,40072,0.013732
snp,40134,0.023601
snp,40201,-0.008200
snp,40251,0.016964
snp,40313,0.020455
snp,40363,0.038763
snp,40420,0.006048
snp,40475,-0.025565
snp,40523,-0.011986
snp,40573,0.016474
snp,40624,-0.008291
snp,40674,-0.012665
snp,40721,-0.009612
snp,40773,0.000811
snp,40822,0.020621
snp,40874,-0.016906
snp,40922,0.023229
snp,40974,0.027336
snp,41033,-0.021290
snp,41091,0.039933
snp,41136,-0.014645
snp,41194,0.004057
snp,41254,0.027238
snp,41308,0.003066
snp,41363,0.012055
snp,41413,-0.001841
snp,41470,0.010369
snp,41527,0.008932
snp,41579,0.015893
snp,41640,0.005930
snp,41690,-0.041268
snp,41747,0.004150
snp,41794,0.003208
snp,41846,-0.001137
snp,41906,-0.013663
snp,41959,0.029424
snp,42017,0.013137
snp,42064,-0.008058
snp,42120,0.025913
snp,42171,0.006066
snp,42226,0.014065
snp,42280,-0.021913
snp,42329,-0.024596
snp,42384,-0.021267
snp,42433,-0.023671
snp,42481,-0.013401
snp,42543,0.012335
snp,42592,-0.024691
snp,42648,-0.021454
snp,42702,-0.003130
snp,42759,-0.013833
snp,42808,0.014261
snp,42856,0.040490
snp,42908,-0.000536
snp,42968,-0.004025
snp,43016,-0.009649
snp,43062,-0.037386
snp,43114,-0.005084
snp,43182,-0.036477
snp,43236,-0.029296
snp,43285,-0.007621
snp,43345,-0.013933
snp,43405,-0.000057
snp,43457,-0.007595
snp,43508,0.014927
snp,43559,-0.006625
snp,43609,-0.016607
snp,43667,0.001846
snp,43722,-0.008986
snp,43768,-0.042884
snp,43819,-0.020987
snp,43877,0.006105
snp,43932,0.024057
snp,43987,0.025434
snp,44030,0.003553
snp,44076,0.039066
snp,44139,-0.008249
snp,44184,0.044865
snp,44240,-0.010424
snp,44296,0.007299
snp,44352,-0.004906
snp,44409,0.010992
snp,44460,-0.009426
snp,44511,-0.008900
snp,44565,-0.010925
snp,44615,-0.024182
snp,44667,-0.017885
snp,44721,-0.016077
snp,44772,-0.006193
snp,44824,0.011151
snp,44873,0.008460
snp,44921,-0.003197
snp,44977,0.020576
snp,45024,0.018072
snp,45082,0.002423
snp,45145,0.001310
snp,45191,0.010674
snp,45246,-0.011878
snp,45297,0.017852
snp,45338,0.013431
snp,45391,0.014947
snp,45438,-0.016562
snp,45486,-0.002657
snp,45549,0.001577
snp,45597,-0.011541
snp,45651,0.001159
snp,45707,-0.040416
snp,45754,-0.015462
snp,45805,0.017812
snp,45857,-0.001125
snp,45909,-0.026965
snp,45967,-0.005073
snp,46019,0.013850
snp,46066,0.007210
snp,46121,-0.000205
snp,46178,-0.021463
snp,46232,-0.007929
snp,46284,0.002003
snp,46341,-0.010870
snp,46393,0.022349
snp,46449,-0.015028
snp,46507,0.016565
snp,46556,0.010361
snp,46607,-0.045042
snp,46662,-0.001453
snp,46720,0.014502
snp,46771,0.002271
snp,46819,-0.035216
snp,46874,0.031284
snp,46928,0.031387
snp,46978,0.018003
