ID,trait1,group,litter,genetic,omic1,omic2,omic3,omic4,omic5,omic6,omic7,omic8,omic9,omic10,genetic_direct,genetic_indirect,genetic_total
642,-1.324464,34,23,0.093167,0.321697,-0.082635,-0.125770,-2.365365,0.218623,-0.560977,1.270825,1.631840,0.705331,0.372984,0.093167,-0.043278,0.049890
643,-1.848449,36,164,0.079451,1.171282,-0.751900,1.920758,0.710253,-0.517854,-1.234728,-2.691576,0.168698,1.470807,0.448593,0.079451,-0.957488,-0.878037
644,2.294240,28,192,-0.101989,-0.994418,0.649194,0.581794,-1.559525,-2.087989,1.520115,-1.844197,-0.401698,0.407739,-0.322039,-0.101989,0.790886,0.688897
645,-0.386711,49,269,-0.304155,0.734148,-0.490695,0.035619,-1.508312,0.076370,0.878834,0.091857,1.610003,1.359517,2.051636,-0.304155,0.895739,0.591585
649,0.894748,14,7,-0.284840,0.559071,-1.239508,0.301471,0.062113,-1.146349,0.077421,-0.885967,-0.510007,-0.085237,1.697637,-0.284840,-0.214557,-0.499397
886,3.878641,20,142,0.432821,-0.785669,-2.436688,-0.333044,-1.615517,-0.424568,-0.346563,0.936230,-0.866106,-0.767848,-0.228459,0.432821,1.365364,1.798184
887,-1.914520,40,145,0.102789,0.762721,0.932178,0.858435,-2.217547,-0.506433,0.698139,1.378064,1.030262,0.313124,1.751123,0.102789,-0.377714,-0.274925
888,-0.566655,15,121,-0.193559,1.137960,-1.255705,2.738578,-0.821113,-0.569759,1.587418,0.004232,1.134771,0.967887,0.826211,-0.193559,0.098602,-0.094957
889,-0.702922,17,114,0.161225,0.191174,-0.911072,0.004444,-0.725528,0.374631,-0.235828,0.704692,2.430505,-0.424549,1.719986,0.161225,0.177257,0.338481
890,-1.287455,41,240,-0.110430,2.251412,2.638493,0.469913,-0.219644,-0.026042,-1.723713,-1.399500,-0.222420,0.091519,-0.468356,-0.110430,-0.386194,-0.496625
891,0.406705,15,221,0.340082,0.382529,-1.030034,1.109565,-0.723203,-1.368789,0.661116,0.134710,2.387282,0.575073,-0.045355,0.340082,0.307163,0.647246
892,-1.466937,6,218,0.171462,-0.255310,-0.638548,1.440399,-0.107890,-0.850723,0.351074,0.107761,-0.022564,1.307344,-1.379987,0.171462,-0.836430,-0.664968
893,1.198905,32,184,0.744381,0.145791,0.196445,0.117242,0.415677,-0.329390,0.721533,0.074278,0.252518,0.737351,-0.479213,0.744381,0.377585,1.121966
894,0.328239,15,39,-0.004056,1.818113,0.935595,0.155342,-0.923291,0.115227,0.369376,-0.311568,-1.488769,1.413715,-0.559138,-0.004056,-0.245535,-0.249590
895,1.629943,42,247,-0.377930,0.105858,-1.239483,-1.325600,-0.517417,-1.721853,0.943899,-0.623446,0.289877,0.631900,0.767768,-0.377930,1.138339,0.760410
896,-0.553543,16,2,-0.414966,-0.261592,-0.647793,-0.870381,0.168015,-1.690806,-0.199246,2.092777,0.016651,-0.180425,-0.813325,-0.414966,-0.281871,-0.696837
897,-1.788231,36,109,-0.369857,1.422489,-0.029107,0.285736,-0.062963,-0.316599,-0.775929,0.661143,-0.700338,1.068054,1.030158,-0.369857,0.040535,-0.329321
898,0.247174,47,59,0.194259,-0.227179,0.125239,-0.157902,1.853136,-0.075011,-0.247329,1.786403,0.209714,-1.979711,-1.741761,0.194259,-0.381680,-0.187422
899,-1.118619,33,167,0.149677,-1.309248,-0.264610,0.864073,0.269928,-0.477674,0.381940,-1.013468,-0.204212,1.230507,-1.974172,0.149677,-0.016659,0.133018
958,-0.996317,44,229,-0.211307,1.187306,-2.359829,1.558452,-0.750599,-0.193072,0.623087,0.409454,0.640934,0.961002,0.369455,-0.211307,-1.264229,-1.475535
1009,-0.151453,17,9,-0.056002,-0.141849,0.294870,1.383871,-0.613735,0.223261,-0.533062,0.176417,0.725379,-1.189876,1.135112,-0.056002,-0.381731,-0.437732
1113,-0.523241,36,10,-0.273265,-0.763281,-0.640390,-0.452003,1.015425,-0.531816,-2.081278,-1.042995,-0.718253,-0.331772,-1.253309,-0.273265,0.323356,0.050091
1114,0.054108,20,181,-0.500065,0.798609,0.724904,-1.348208,-0.386461,-0.344216,0.515788,-1.041186,-0.212013,1.522444,0.821741,-0.500065,-0.513548,-1.013613
1116,-0.587178,36,78,-0.232233,0.277735,-0.217392,0.672230,0.965165,0.084723,-0.805357,-0.763209,-0.493599,-0.186576,-0.414746,-0.232233,0.250058,0.017824
1117,-2.092711,32,34,-0.335483,-0.801902,0.333795,0.144149,-0.957961,0.732641,0.736887,0.931803,0.132124,1.216527,-1.761349,-0.335483,-0.082073,-0.417556
1118,-1.807637,9,199,0.276549,0.689871,0.545917,1.115145,-1.899461,1.261213,-1.766746,0.410996,0.789610,0.489132,0.036801,0.276549,-0.846178,-0.569629
1136,0.584158,25,258,-0.267687,-1.253871,-0.073461,1.057158,0.871623,-1.004201,0.286654,-0.067968,0.278492,1.521911,0.751765,-0.267687,1.143780,0.876092
1267,0.510731,47,88,0.610095,-1.479272,-0.293410,-0.264986,-0.145392,-1.232951,1.500296,0.471679,0.599911,2.340409,0.137115,0.610095,-0.658627,-0.048532
1280,-3.318000,18,39,0.532185,1.341113,0.317562,2.323729,0.334760,1.111793,-0.922044,-1.614824,0.322727,1.545035,-1.623136,0.532185,-1.292709,-0.760524
1305,2.700253,5,177,0.368020,-0.075572,0.210869,-0.103077,-0.422857,-1.331114,1.062793,-1.256534,0.420224,-0.811094,0.477834,0.368020,2.432869,2.800889
1312,-0.522604,17,18,0.078387,-1.434103,1.490757,-0.495969,0.954545,-0.832900,-0.860869,0.982804,0.181558,-0.133527,-1.288693,0.078387,-0.579286,-0.500899
1313,-0.764938,40,195,0.254600,-0.574280,-1.163437,1.718594,0.336968,1.580362,0.739681,-1.072769,1.644671,-0.092586,1.001222,0.254600,0.405641,0.660241
1318,-2.458808,11,249,0.197213,-0.213541,2.469931,2.242348,-0.903254,-1.192127,0.522475,2.003609,-0.125127,-1.014331,-0.294068,0.197213,0.340807,0.538020
1319,1.703974,39,13,0.146777,-1.235996,-1.680393,1.527625,-0.688662,0.079375,0.914612,-2.362201,2.314899,-0.722496,0.014465,0.146777,0.737389,0.884166
1321,1.846148,32,272,0.641011,0.296228,-1.634509,0.666950,0.104218,-0.507786,0.843140,-0.741967,1.446313,1.242153,0.517719,0.641011,0.212755,0.853766
1322,-1.156978,3,201,0.083290,1.465800,-0.250297,1.736668,2.784250,-2.033454,0.185910,0.491084,-1.026221,0.389657,0.473739,0.083290,0.086358,0.169648
1328,2.552173,32,103,0.577563,-1.032240,-1.088187,0.644501,-1.731242,0.684811,0.339631,-2.159095,1.040014,-0.441369,0.400032,0.577563,0.818568,1.396130
1341,1.460574,42,60,-0.225385,0.274863,0.031687,-0.813602,0.019068,-0.698906,1.962449,-0.702742,0.255163,-0.186346,1.208176,-0.225385,0.696016,0.470631
1342,-1.084772,29,298,-0.531782,0.237666,0.911443,1.547319,0.653522,-1.003983,1.188744,-0.706894,0.532595,-0.168051,-0.753029,-0.531782,0.024296,-0.507485
1390,0.336853,35,76,0.234320,1.247531,1.198262,-0.436189,-1.358398,0.436221,-0.355941,-0.033738,-1.366366,-0.203055,-0.233383,0.234320,-0.453668,-0.219348
1391,1.427708,49,82,0.176613,-2.105574,-0.882865,1.456191,0.063811,0.010162,1.102295,-0.299337,0.550468,-0.188523,0.296124,0.176613,-0.230454,-0.053841
1393,2.493848,11,168,0.385403,0.629000,0.048509,-0.671097,-0.124568,-0.224723,0.251937,-1.232270,-0.524797,0.859655,1.728119,0.385403,0.157369,0.542772
1394,1.250311,24,248,0.358621,-0.280115,-0.879390,0.685862,-0.392542,-0.065357,-0.420489,-1.277676,-1.651521,-0.658912,0.965128,0.358621,0.936969,1.295591
1401,-0.301708,44,109,0.049474,0.350867,0.568201,-1.073393,-1.273118,-0.882262,0.385823,-0.930113,-0.384381,2.182556,0.681186,0.049474,0.561264,0.610737
1404,-0.264645,33,176,-0.276949,1.309132,0.248208,1.279663,-0.092800,1.807179,0.277839,0.759356,-0.581272,-0.488049,-1.500325,-0.276949,1.060236,0.783287
1406,-3.404125,7,217,0.163163,-0.007087,0.778822,2.243474,0.761920,0.807313,-1.009882,0.777031,-0.384483,1.048072,-0.829447,0.163163,-0.755968,-0.592805
1408,-1.675292,11,235,0.339684,1.435668,1.170557,0.246646,0.991511,1.403639,-0.270998,-0.830046,-0.673502,0.577168,1.690022,0.339684,-0.970684,-0.631000
1409,1.133638,16,47,-0.083716,-0.700343,-0.738561,-0.664435,-0.209413,-0.565966,-0.668265,-1.226387,-1.104021,-1.815838,1.883627,-0.083716,1.175849,1.092134
1412,2.337421,12,142,-0.115189,0.454469,-0.328280,-0.694000,0.244431,-0.273246,1.214851,0.250573,-0.853925,-2.478925,-1.757164,-0.115189,0.464300,0.349111
1413,-0.286399,45,253,0.050457,0.030875,-0.003056,-0.019719,-0.651523,0.231480,0.477772,-0.923486,0.696401,-0.057984,1.120871,0.050457,0.727619,0.778076
1415,1.799043,12,73,-0.021752,-0.097590,-1.111388,-0.969166,-0.261400,-0.226909,-0.039226,0.967239,-1.327981,-0.999330,-0.426066,-0.021752,0.580807,0.559055
1416,0.809450,14,250,0.043760,-0.135751,1.279106,-1.974852,-0.903678,1.230475,-1.008085,-0.586311,-0.287665,0.269069,-0.836628,0.043760,0.517670,0.561430
1417,-0.076771,16,92,-0.064943,-0.438619,-1.310551,0.518709,0.925717,-0.735220,-1.694107,-0.274512,-0.425641,0.881587,1.257794,-0.064943,-0.621166,-0.686109
1419,-2.979566,19,77,-0.373796,0.562401,0.486341,-0.037970,-0.238371,-0.970699,1.592237,-1.287721,0.292681,4.427026,-0.617823,-0.373796,-0.259315,-0.633110
1425,1.969375,0,129,-0.630424,-1.920551,-0.048788,0.231157,0.426541,-1.860054,1.500667,-0.844868,1.826916,-1.582756,1.745386,-0.630424,-0.154840,-0.785265
1427,3.255482,15,246,0.557387,1.569512,0.511712,-0.304838,-0.073615,-0.704175,-0.378792,-1.794516,-0.385787,-2.174824,0.554887,0.557387,0.752503,1.309890
1429,-0.257832,16,57,-0.771121,-0.047494,1.385504,-1.938525,0.703914,-0.177150,-0.573845,-0.254928,0.795028,-1.514762,1.115710,-0.771121,-0.161542,-0.932662
1430,0.772079,4,147,-0.087703,1.291003,0.362370,-0.087988,0.425502,-2.203182,1.215718,-0.420214,1.463049,-0.115084,-0.331774,-0.087703,-0.521827,-0.609530
1431,1.744479,9,175,-0.479865,-0.980591,1.267541,-0.820958,-0.993933,-1.400953,0.167774,-0.675167,0.496872,-0.260165,0.369336,-0.479865,0.253306,-0.226559
1435,1.608233,21,290,0.120609,0.572625,0.079713,0.759796,-1.297979,1.598178,1.165543,-0.968395,-0.565237,-1.456146,1.456016,0.120609,0.611856,0.732466
1438,-1.246215,8,168,-0.089638,3.558982,-2.746523,0.821899,1.068378,-0.626100,-0.744532,0.797457,-1.000617,1.776329,-0.022394,-0.089638,-0.500853,-0.590491
1441,1.214590,41,1,-0.343397,-1.338619,1.643548,-1.805480,-0.412004,0.894474,1.447814,-0.868579,-0.466999,1.107524,-0.572754,-0.343397,-0.922440,-1.265837
1443,-1.575793,49,294,-0.060605,-1.587489,0.730606,1.944449,0.288685,1.196403,0.644488,-1.004254,-0.489672,0.460067,0.581113,-0.060605,0.040660,-0.019945
1449,1.840699,47,280,-0.238602,-1.349862,0.494363,-1.902787,0.132783,-0.180320,-1.049094,-0.494011,0.444340,-1.070461,0.827664,-0.238602,0.737653,0.499051
1452,-1.777746,31,253,0.154806,-0.179198,0.464730,-0.626807,0.641091,1.163695,0.016690,1.223083,-0.276934,-0.333417,-0.927255,0.154806,0.022793,0.177599
1455,-0.651272,38,114,-0.000384,0.215430,-1.834819,-0.330345,0.665662,0.195026,0.433272,-0.077490,-0.796273,0.728414,0.218007,-0.000384,0.478376,0.477992
1457,0.711627,25,151,0.425504,1.252834,-1.680357,0.562821,-1.442546,-0.015742,-0.354727,-0.340630,-1.350164,0.533735,-1.156371,0.425504,0.694195,1.119699
1460,-1.355562,13,235,0.223808,-0.322860,0.562370,0.163152,-0.042994,0.550767,-0.266506,1.046709,2.015249,0.037560,-0.515296,0.223808,-0.288743,-0.064934
1462,0.288359,37,178,0.305472,-2.062427,-0.560327,0.470561,-0.277465,-0.474007,-1.046462,1.377762,-1.478410,0.053010,2.098093,0.305472,0.048153,0.353625
1471,0.115213,46,50,0.193761,0.512301,-0.220624,-0.364327,1.713600,0.417832,-0.574934,0.905906,-0.431974,-0.794090,-0.733409,0.193761,-0.439090,-0.245329
1472,0.767210,27,36,0.379909,0.171419,-0.665455,-1.447027,-0.776330,0.654330,0.783717,1.803432,0.020535,0.642198,0.364807,0.379909,-1.439936,-1.060027
1478,0.731199,15,164,-0.002989,0.778250,-0.911914,-0.784747,0.572692,-1.067360,-0.208915,-0.010444,1.397782,0.034621,-0.546684,-0.002989,0.097420,0.094431
1479,-0.912275,6,52,0.148449,-1.647019,-0.673830,-0.236911,-0.001800,-0.325473,-0.544173,0.852598,-0.848792,1.677150,1.157760,0.148449,0.206392,0.354841
1480,-0.571600,15,106,-0.280342,0.296552,-0.695455,-0.604165,-1.404442,-0.363588,-0.030097,1.693078,-1.427623,0.493824,0.147767,-0.280342,-0.420988,-0.701330
1481,2.507896,3,54,0.002536,1.969878,-0.109572,-0.478760,-0.323662,1.322903,0.405688,-0.870171,-0.626929,-2.303643,0.559823,0.002536,0.376729,0.379265
1483,-0.182477,23,22,-0.453149,1.045051,-0.029390,-0.958771,-1.470802,-0.068329,-1.892669,0.486584,-0.988725,-0.302884,-0.044811,-0.453149,0.915296,0.462147
1489,2.404238,11,133,-0.041530,0.096256,-1.018050,-0.430572,0.838029,-0.259678,2.118842,-2.173294,0.182929,-1.614240,1.084235,-0.041530,1.489533,1.448003
1491,-1.046507,33,147,0.018829,0.010832,0.697996,1.148430,1.958756,-0.226316,-0.501390,1.159533,0.232987,-0.429660,0.370361,0.018829,-0.874188,-0.855359
1492,2.149615,45,53,-0.035877,-0.697675,-0.092299,-0.656852,-2.462137,0.603904,0.881067,0.226485,-0.551286,-0.780616,2.887520,-0.035877,0.883371,0.847494
1495,1.787266,46,64,0.389355,-0.402582,0.235969,-0.253028,-1.004740,-0.429789,0.638000,1.180798,-0.322514,-1.070405,-0.126534,0.389355,-0.426543,-0.037188
1496,1.667649,11,116,0.319420,-0.384475,-0.749003,0.208636,-0.153891,-0.085347,0.793984,-1.153207,-0.729465,1.054796,0.190336,0.319420,-0.360885,-0.041465
1499,-2.636658,35,247,0.293396,-0.092932,0.078488,-0.295651,-0.830003,1.769637,-0.671714,1.400242,0.608350,1.101206,0.128030,0.293396,-0.461962,-0.168566
1500,1.721555,15,268,-0.090558,0.555416,-1.528928,-0.527639,-0.105254,0.294375,-1.978126,-0.295412,-2.183743,-1.333358,-1.539838,-0.090558,0.061294,-0.029264
1503,-3.672438,30,30,-0.044915,0.435424,0.124080,1.023821,0.342626,0.669130,0.105602,-0.725711,-0.326734,2.267439,1.168563,-0.044915,-1.338779,-1.383694
1504,-1.139038,49,294,-0.458313,-1.317608,-0.688583,-0.374586,-0.255920,0.492009,-0.660208,1.201774,0.098592,1.129568,2.916272,-0.458313,-0.648281,-1.106594
1507,-0.466668,6,127,0.055383,-0.548081,-1.313187,-0.317619,0.558990,1.167646,-1.185329,0.635282,-1.244614,2.174632,-0.813648,0.055383,-0.003481,0.051903
1508,0.843034,30,6,-0.357475,-0.588509,-0.554178,1.716925,0.754825,1.307996,0.181804,-0.259414,-0.064267,0.496347,1.226106,-0.357475,-0.878765,-1.236240
1509,0.203242,35,225,-0.514156,0.570195,0.143901,0.218237,1.101887,0.679650,1.095294,-1.625140,1.524341,-1.079393,0.661588,-0.514156,0.024870,-0.489286
1510,-0.398243,33,105,-0.094646,-2.209490,0.510355,-0.092145,1.770938,-2.559474,-1.329970,0.718661,0.614987,-0.428030,0.645897,-0.094646,0.373155,0.278510
1511,0.811549,14,57,-0.098284,-0.940643,-0.751332,-0.849789,-0.049188,0.336691,0.103227,0.706510,-0.003725,0.221286,0.566996,-0.098284,-0.058474,-0.156759
1512,-0.265458,27,283,0.391917,-0.112603,0.501357,-0.865183,1.105275,-0.740253,-1.809487,-0.433536,1.553716,0.478186,-0.328931,0.391917,-0.579688,-0.187771
1514,-1.533693,3,264,-0.245496,0.390237,-0.314759,1.545238,0.307986,0.083666,-0.216047,0.391795,0.078325,1.553151,0.243079,-0.245496,-0.960623,-1.206118
1516,0.667612,0,107,0.497309,-0.025984,0.736181,-2.081803,-0.493616,-0.670746,1.413192,0.172864,0.169444,-0.048215,-1.062892,0.497309,0.249985,0.747295
1517,0.173027,39,118,0.693100,0.786726,0.377404,-0.264157,0.230988,0.779030,-1.487133,-0.649820,-0.123253,-0.090922,-1.048061,0.693100,-0.036640,0.656460
1518,1.181377,4,229,-0.080671,-0.629760,-0.694698,-0.706766,-0.639019,-0.105759,0.759701,-0.603447,0.050742,0.811440,0.953583,-0.080671,0.340564,0.259893
1519,-1.243963,45,278,-0.478065,0.127051,-1.389960,1.600492,0.743127,-0.822486,-0.758184,-0.430793,0.119314,0.360251,0.752322,-0.478065,0.587809,0.109744
1520,0.233601,35,126,-0.040631,-0.645940,-1.098665,0.464934,1.718696,-0.175124,0.699891,-1.176501,-2.107767,0.643476,-0.549223,-0.040631,-0.264706,-0.305337
1521,-0.982622,40,142,-0.102007,1.074898,-0.359737,-0.173696,-0.666048,0.644743,-1.374367,0.521266,0.427643,0.033951,-0.169355,-0.102007,-0.349073,-0.451080
1522,0.115462,41,224,-0.067701,1.088568,-0.706424,-0.306879,0.085572,-0.283254,-0.139597,0.385129,-0.397398,1.487570,0.039912,-0.067701,-0.485999,-0.553700
1523,-0.665578,34,63,-0.116348,0.227303,0.722191,-0.611978,-0.387526,-0.490598,-0.158260,0.380949,-1.013097,-0.517422,-0.628118,-0.116348,0.764199,0.647850
1525,-2.356360,6,114,-0.159750,2.400714,-0.353376,-0.314958,-0.979744,1.250973,-2.306599,0.076740,1.892312,1.351684,0.681731,-0.159750,-1.714202,-1.873952
